Group,Variable,Value,,,,,,,,,,,
March,1931,-0.1,,,,,,,,,,,
April,1931,-0.22,,,,,,,,,,,
May,1931,-0.19,,,,,,,,,,,
June,1931,-0.08,,,,,,,,,,,
July,1931,-0.04,,,,,,,,,,,
August,1931,-0.03,,,,,,,,,,,
September,1931,-0.07,,,,,,,,,,,
October,1931,0.05,,,,,,,,,,,
November,1931,-0.05,,,,,,,,,,,
December,1931,-0.05,,,,,,,,,,,
January,1932,0.15,,,,,,,,,,,
February,1932,-0.17,,,,,,,,,,,
March,1932,-0.18,,,,,,,,,,,
April,1932,-0.05,,,,,,,,,,,
May,1932,-0.17,,,,,,,,,,,
June,1932,-0.29,,,,,,,,,,,
July,1932,-0.25,,,,,,,,,,,
August,1932,-0.21,,,,,,,,,,,
September,1932,-0.1,,,,,,,,,,,
October,1932,-0.09,,,,,,,,,,,
November,1932,-0.27,,,,,,,,,,,
December,1932,-0.26,,,,,,,,,,,
January,1933,-0.23,,,,,,,,,,,
February,1933,-0.29,,,,,,,,,,,
March,1933,-0.29,,,,,,,,,,,
April,1933,-0.25,,,,,,,,,,,
May,1933,-0.29,,,,,,,,,,,
June,1933,-0.34,,,,,,,,,,,
July,1933,-0.21,,,,,,,,,,,
August,1933,-0.23,,,,,,,,,,,
September,1933,-0.29,,,,,,,,,,,
October,1933,-0.25,,,,,,,,,,,
November,1933,-0.3,,,,,,,,,,,
December,1933,-0.44,,,,,,,,,,,
January,1934,-0.21,,,,,,,,,,,
February,1934,-0.03,,,,,,,,,,,
March,1934,-0.29,,,,,,,,,,,
April,1934,-0.31,,,,,,,,,,,
May,1934,-0.1,,,,,,,,,,,
June,1934,-0.15,,,,,,,,,,,
July,1934,-0.11,,,,,,,,,,,
August,1934,-0.12,,,,,,,,,,,
September,1934,-0.16,,,,,,,,,,,
October,1934,-0.06,,,,,,,,,,,
November,1934,0.04,,,,,,,,,,,
December,1934,-0.02,,,,,,,,,,,
January,1935,-0.33,,,,,,,,,,,
February,1935,0.14,,,,,,,,,,,
March,1935,-0.14,,,,,,,,,,,
